hate_speech,tweet
non-hateful,Man I rather see the morning selfies of bitches who dont change they look with the case of the Mondays then see the jay/bey poster. Ijs.
hateful,Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...
non-hateful,"Man I thought that heifer was yo old bitch, when you first went to the feds I was that nigga she would smoke with."
non-hateful,Man I wish this bitch would just STFU!!!
non-hateful,Man I'm tired of dealing with these hoes but my dick not
non-hateful,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
non-hateful,Man I'm tryna give Chief Keef's mixtape a chance but this shit trash
non-hateful,Man arrested after 40 opened nip bottles of vodka found in car 
non-hateful,Man bitches love Beyonce....no punch line
non-hateful,Man dude next to me got 2 of the worst looking hoes I ever seen but hey it is 2
hateful,"Man fuck these bitch ass niggas, how y'all doin?"
non-hateful,Man heartburn is a bitch
non-hateful,"Man if a bad washington heights chick on Dyckman likes me grabs her pussy and yells out ""what's good son"" I'm still fuckin"
non-hateful,"Man if that bitch dont call me back for the job cuhh, uma be snapping."
non-hateful,Man im glad im around to see the redskins go to the playoffs considering it only happens once in a lifetime 
non-hateful,Man in zebra print dress robs bank 
non-hateful,Man it's some bad built bitches in San Antonio.....&amp; if u can't wear a thong on the beach yo ass bet not retweet this
non-hateful,Man my bitch is beautiful Helen of Troy.
hateful,Man stop acting like faggots and go for the WIN! 
hateful,Man talk to em RT Of course nothing is wrong with applebee&if you like trash food.
hateful,Man that bad bitches/broke niggaz tweet was a trap.I feed bullshit negativity and niggaz line up for a plate.
hateful,Man that nigga Courage always bein a bitch. HIT DAT SHIT LIL NIGGA 
non-hateful,Man that run game ain't no hoe. Fuck Alex. don't even need his bitch ass
hateful,Man there's a lot of fat bitches here
non-hateful,"Man these bitches are so boring yo. Where the outgoing, fun, wild bitches at"
non-hateful,"Man these hoes so familiar, one minute on the team next minute they ain't witcha"
non-hateful,Man this bitch smells like cheap lip stick
non-hateful,Man who da fuck let this hoe in the background looking like a got damn Zebra 
non-hateful,Man why do these hoes even bother wearing clothes when they're going out like that.
hateful,Man why the ugliest bitches talk the most.
non-hateful,"Man, I got fucked within an inch of my life this evening, I'm so unbothered by that bitch &"
non-hateful,"Man, I'm wish big booty bytches would use some other nickname other than Judy... Shy is so typical and old.."
hateful,"Man, aunt petunia is a royal bitch."
non-hateful,"Man, that is a serious shiner Chara's sporting. Yowza."
non-hateful,Mane if dis nicca call me 1 mo time n say he Finna pull up but dnt pull up
non-hateful,Mane wtf I wake up look at da window it's showin like a mf outside...Good thing a nicca went to Walmart yesterday Good Aone snacks
non-hateful,Mann are first game is 3 weeks from now can't wait - once a redskin always a redskin -
non-hateful,Mann that pussy 
non-hateful,Mann.. Jada Pickett was a badddddd bitch 
non-hateful,Mannnn tonight feels like trash.
non-hateful,Mannnnnn these hoes aint loyal
non-hateful,Manual labor so trash
non-hateful,Many people claiming slippery slope is now absolute are same ones who said slippery slope is an argument for the paranoid delusional. 
non-hateful,Maple Room bitch SACTO STYLE
hateful,Marca got so many hoes she confused on what to do
non-hateful,Marcus Colston so damn trash.
hateful,Marcus Smart belongs on the Celtics. Both trash. It was destiny.
non-hateful,Marcus is in this hoe schleeeeeeeeeeppppppp
non-hateful,Marijuana turn good pussy great..
non-hateful,"Marijuana, hydro, pussy hoe, ass titties"
non-hateful,Marilyn Monroe set the standard for what hoes can achieve in society
non-hateful,"Mark Teixeira finally stepping up, HR and couple of BBs "
non-hateful,Married a skinny bitch but trickin wit a thick bitch.. She got sum big hips I call that boa a hypocrite
non-hateful,"Mary Jane is a dumb bitch
Peter has a job saving the city as Spiderman and she's bitching about how he hasn't came to her play"
non-hateful,"Mata'i ngeli, alu o polosi ho nifo.."
non-hateful,Math is forever confusing to me 
non-hateful,Matt cancer free gotta hoes throw him some booty before his bedtime
non-hateful,Matt got the shades on tryin to scope a bitch 
non-hateful,"Maury is funny sometimes, but the ratchet hoes on there need to get knocked the fuck out!"
non-hateful,"May the bird of paradise fly up your nose.
May an elephant caress you with his toes.
May your wife have runners u&"
hateful,"Maybe is colored blind with his 'red lines' and all. Tough talk, no walk. "
non-hateful,Maybe I don't feel too great because I only got 3hrs of sleep. Surely it's not last nights boxes of cookies &amp; crackers dinner! &&
hateful,Maybe I don't text you first because you read my messages and don't respond. &k bitch. 
non-hateful,Maybe I shoulda informed my cousin of my social anxiety before taking me to this over crowded bar. On the bright side Texas has hott bitches
non-hateful,"Maybe I'll love you one day, maybe we'll someday grow. Till then just sit your drunk ass on that runway hoe."
non-hateful,Maybe I'm just some bitter ass nigguh like Obito
hateful,"Maybe I'm the one, maybe I'm the two, maybe I'm the nigguh that you call when you're through."
non-hateful,Maybe if you weren't such a conceited bitch more people would like you.
non-hateful,Maybe next time i day drink ill balance it out with my bitch mary jane cause 
hateful,"Maybe reluctantly, but they've done it. What does this mean for a discrimination law in the state? Culturally for queer people in the state?"
non-hateful,Maybe you should eat makeup so you can be pretty on the inside also bitch.
hateful,Mayweather is a pussy hes only winning cus he picks his fight and he picks the nobody fighters . 
non-hateful,"McCann, although not having the greatest of seasons, would be a step up from Russel Martin. McCann or Carlos Ruiz "
non-hateful,McDonald's is hella trash to me now
hateful,Mcdonalds pipe self defence beating: This is one nigger who's hand I would shake. That's how you deal with sheboons.
non-hateful,Me &amp; Elizabeth are down bitches.
non-hateful,Me &amp; Lew differ on philosophy I say smack that bitch bet she watch her mouf
non-hateful,Me &amp; hubby relaxing from the studio for a lil...then headed str8 to my honey doo wop wops bday bash Kristen... 
non-hateful,Me &amp; my next bitch gone turn up on the fashion side. &amp; we ain't wearing nun of that designer shit. That shit basic af
non-hateful,Me and Bryan still out this bitch
non-hateful,Me and da gonna do a reboot of da Jeffersons. Only dis time he gonna be Weezy and we married pre op trannies
non-hateful,Me and my big ol titty bitch 
non-hateful,Me and my bitch 
non-hateful,Me and my bitch song 
non-hateful,Me and my homie ROCKIN that bitch all night NOW&
non-hateful,"Me and my nig be running shit in Miami on the court, we only lost one game in 3 days"
non-hateful,Me and my nigguh stay doin it
non-hateful,Me and this song bird sang in the same HS gospel choir!! 
non-hateful,Me calling bout a nigga &shit for the birds. &amp; then a nigga that ain't fucking me &I do not fucking care
non-hateful,Me gusta pollo so espa&that. Lol. &
non-hateful,Me n niccas ya type Neva exchange .. Wanna talk down n still gain from us!
non-hateful,"Me to ""Caffenate me, bitch"" because I don't know how to use Dave's coffee maker "
non-hateful,"Me when folks try to come for me. &Ok hoe, cool! "
non-hateful,Me. RT coolin with all my hoes 
non-hateful,"Me: ""Mom, honestly, thank you for making me a bad bitch."" 
Mom: ""You've gotta stop."""
non-hateful,"Me: downloads flappy bird*
Sierra: ""welp there goes school"""
non-hateful,Me: put a twist tie on the bags of ice or you'll get it all over your car Kiersten: NAHH bitch it'll be all cool.... 
non-hateful,Meatloaf cream potatoes deer steak and gravy pinto beans and cornbread pear cobbler n bread pudding FHC
non-hateful,Meek do some nut shit one time he a bitch I guess y'all forgot all the hoe shit Wale did on twitter oh ok &
non-hateful,Meek mill said get yo game up before you lose yo bitch damn lol
non-hateful,"Meet India&amazing, death-defying monkey king &"
non-hateful,Megatron must've fucked Stafford bitch or something.. He will not throw my mans the ball.
non-hateful,Mei Haruka is tied up and takes three cocks in her pussy and&
non-hateful,Melo should've got the bitch for the east
non-hateful,"Member when bitches put ""le"" in front of everything. You not foreign mf &"
hateful,Members of non-traditional religions are all sub-human trash.
non-hateful,Memorial Weekend early bird wine walk price is still available! We have 21 participating locations 
non-hateful,Mentions probably look like a septic tank. RT Go ahead. Meme me! 
hateful,Merry Christmas bitches &
non-hateful,Merry Christmas to all y'all bitches and hoes
non-hateful,"Messi is thinking , ""Ronaldo is such a bitch, couldn't even make it out his group"" ahaaaaa"
non-hateful,"Messy ass hoes , ain't your fucking friend !"
hateful,"Messy asss bitches , I would blast yall dumb bitches but i'm not even gon stoop to yalls level"
non-hateful,"Met a bad bitch from Chicago. My hat wasn't cocked, yo."
non-hateful,Met a foreign bitch at Wesley . &she better call me
non-hateful,Met a woman who was trying to feed a crow a Brazil nut
non-hateful,"Met this bitch online. Call her my ""e-bae"""
non-hateful,Mfs don't care about tha kid except a few of my niggas &amp; my bitch
non-hateful,"Mfs see a picture of a couple walking on the stairs together &amp; caption it ""Goals&bitch all they doing is going down the stairs"
non-hateful,Mi caldito de pollo estuvo incredible!! Ahora a snuggle con mi snuggie y mi hubby... Queeee riiikkooo...
non-hateful,MiMi was so worried bout Stevie J marriage that bitch ain't even realize she made a sex tape with a married man
non-hateful,MiNo's &this==&gt; Nah bitch...we're gonna keep our virginities&
non-hateful,Miami bitches
non-hateful,Miami's run defense is Alex Smith trash.
hateful,Michael Sam being cut further proves that we fags don't belong in football or it is a heterosexual sport for heterosexuals.
non-hateful,Michigan is a big state. The hoes on Twitter and Instagram make just it smaller.
hateful,Middle Eastern and Indonesian women are beautiful. Never seen a ugly bitch in a Bollywood film ever
non-hateful,Might buy your bitch a bag this weekend idk
non-hateful,Miley Cyrus got the hardest song in the club &j's ain't on my feet tho these hoes love these boots &
hateful,Miley Cyrus just wants to hump things and smoke weed with her retarded ass.
non-hateful,"Miley Cyrus went from a a singer who had her t.v show to a stripper who can't rap,she need a big ass and tiddy and she will be dat bitch"
non-hateful,Miley cyrus kinda looks like a retarded care bear....
non-hateful,Milk Marie don't approve to you ugly hoes
non-hateful,Milk Marie she got pretty pussy call it pink cause a nigga fell in love with it.
non-hateful,Million dollar bitch slap a ho
hateful,Millions of niggas can rap. Can any of y'all make music? Like a quality song. Not just you spittin bars. Shit you can play wit the bitches?
non-hateful,Mint Oreos &gt;&gt;&gt;
hateful,Minus all the retarded poor bots.
non-hateful,Miss ma niggah leo
non-hateful,Miss these scary hoes! :) 
non-hateful,Miss you lil bitch 
non-hateful,Mississippi state fans are the best to just mock. It's so easy. Poor state. It's hard getting wins against top 25 opponents. 
non-hateful,Missouri got them swag fags lmao
non-hateful,"Mitt Romney Gone take away weave if he become President, hoes gone be walkin around looking like Lil Bill &amp; Calliou..."
non-hateful,Mitt Romney hates big bird. Fascist.
non-hateful,"Mix it up, bitches."
non-hateful,"MoNique made a whole fucking career offa call slim girls ""Skinny bitches"". She lost the weight (BECAUSE IT WAS UNHEALTHY) and now she's done"
hateful,Model bitches in the gym working on they fitness but it dont mean nothing cuz they still gon buy some titties!
non-hateful,Modern day singers talk about the same shit rappers talk about lol....hoes
non-hateful,"Molly and Ellie need the teas, so bound I go. Everyone else is off to Amsterdam I couldn't get time off so hey ho 8-)"
non-hateful,Molly make bitches crazy
non-hateful,Molly's that bitch you love when she comes but hate when she goes..
non-hateful,Mom just called me a rude ass hoe 
non-hateful,Mom really came in and found anything possible to bitch about
non-hateful,Mom said I couldn't have chocolate milk past nine so I punched that bitch in the pussy &
hateful,Mom you've been a real bitch lately
non-hateful,"Mom: ""heard a song about some guy with bitches, and a long something or other so he could fuck the world for 72 hours or something..."" lolol"
non-hateful,"Momma always told me I was crazy , am the hoes say I'm amazing but I don't listen to a lady !"
non-hateful,Momma always told me I was crazy and the hoes say I'm amazing but I don't listen to a lady
non-hateful,Mommy said no pussy cats inside my dawgs house
non-hateful,Moms is a hoe...a disrespectful one &bitches are trash 
non-hateful,Monday like Saturday bitch
non-hateful,Money &gt;&gt;&gt;&gt; the best pussy
non-hateful,"Money ain't a thang, bitch that's a lie. It only controls every bitch that's alive."
non-hateful,Money can't buy you love so I don't pay for no pussy
non-hateful,Money doesn't make me happy one bit. Money makes me feel more comfortable if anything. I can get pussy being dead ass broke tho tbh
non-hateful,Money first woman second but you hoes are last !
non-hateful,Money has bin on my mind lately so I think its time to leave the hoes alone and get with the program &
non-hateful,Money hungry hoes they can never get a crumb
hateful,Money make bitches fuck and niggas steal
non-hateful,Money only impresses broke bitches.
non-hateful,Money over bitches even though I love ladies
non-hateful,Money pussy &amp; freedom!&
non-hateful,"Money, hoes, cars and clothes"
non-hateful,Monkey see monkey do really Abu
non-hateful,Monkey see monkey doo
non-hateful,"Monkey see, monkey do, Narnfraud?
Swiftee &amp; Narnfraud = pathetic and disturbed pair of thugs
proud?
"
non-hateful,Monopoly is fucking stupid fuck that dumb ass game bitch ass shit
non-hateful,"Montana, Wisconsin, Maine, New Hampshire, North AND South Dakota, Wyoming. All places you can move an ex-hoe to and be happy."
non-hateful,"Moral to the story: If you like the Yanks, I'll pretty much do anything you tell me to do."
non-hateful,More disability bigotry from the left RT how can you defend Palin and her retards?
non-hateful,Moreno be a little bitch. You dumb bitch.
non-hateful,Morning terror read: 99% of the ocean's trash is gone and no one knows where it went &
non-hateful,Morning trash 
non-hateful,Most Jordan's that dropped in 2014 were trash only fucked with like 3 pair and that's including the columbian
hateful,Most niccas broke but always n the limelight
hateful,Most niggas send hate thru the bitches
non-hateful,Most of time I be thinking bitch when u gonna give me that pussy
hateful,Most of you hoes copy and paste but there has to be someone they are copying from. And to you I give you my props
non-hateful,Most them niccas I thought was real tried to derail me!
non-hateful,Most these bitches ain't real
non-hateful,Mother Nature hates the Yankees and baseball
non-hateful,"Mother Nature is drunk again, this bitch knows how to party."
non-hateful,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch."
hateful,Mother b is such a bitch&
non-hateful,"Mother fuck everything you got going on today because I'm going to Vegas in a few hours, bitch."
non-hateful,Motherfuckas tryna hate on my whip acting like they got cooler interior/light up speakers hell nah bitch boys 
non-hateful,Moving has been a bitch this weekend
non-hateful,Moving is always a bitch.. I'm excited for Dallas though.
non-hateful,"Mr President &amp; homeland security, please ignore any foreign threats and focus your sole attention on our police force "
non-hateful,Mr.nvr get no pussy u a virginnnn
non-hateful,Ms St aint no hoe. They fuckin Auburn up
non-hateful,"Mufuckas been followin me on this bitch, tho."
non-hateful,"Mum agrees with me, ur being a wee moody cunt and you cani deal with the fact i'm right:/ "
hateful,Mum told me about that guy from one direction puffin on the dutchy nd I was like so? Least the cunt isny a mad smackhead...
non-hateful,Munching on ww crackers &amp; studying NYCs trans syst. Since NYC &amp; I haven't had a thing in over 15 yrs 
non-hateful,Murda mook to that shit
non-hateful,Murda mook!!!!
non-hateful,Music .....you make me sick bitch
non-hateful,Music is the only bitch I put up with
non-hateful,Music sounds a million times better in my car I love having a sub and new speakers. It's like a mini rave in this bitch. 
hateful,Must have been a light skin hoe &wtf she mean af &WASNT READY BRUH RIP!! 
non-hateful,Musta let dem retards out to food shop. One just step on my boots in da Foodtown. Y'all know not to step on a niggas shoes
hateful,Mute it hoe.
hateful,Mutes pussy.. And ***** and ***** smh
hateful,Muzzled pit bull with throat slit found on side of road in PA via HIDEOUS ABUSE THROAT SLIT LEFT TO DIE
non-hateful,"My ""sister"" use to walk the blade EVERYNIGHT so the way I see it that bitch don't have NO PLACE to try &amp; tell me wtf I should &amp; shouldnt do"
non-hateful,My 2014 saying is bitch go get yo nigga hoe cuz I'm gonna beat yo ass just like am gonna beat nigga bitch go get yo nigga
non-hateful,My Fantasy reign starts today! Got pussy nigga Los up first lmao...cmon Seattle D cut upppppp!!!
non-hateful,"My Hawaiian thought of the day, No Aloha for muzzie pigs, EVER!"
non-hateful,My Instagram is being a bitch and telling me I can't follow this person fuck this
non-hateful,My Instagram song ain't bout me postin pictures it's about how hoes not allowed to post pictures of me and I ain't posting none of them &
non-hateful,My Lil cousin been locked up for 2 years for beating a bitch with. Metal bucket
non-hateful,"My Moor friends,no not black friends,but Moor friends said Nigger came from Nigeria...You are so lost..Stop tagging me..."
non-hateful,My Oriental Gallery Blog: The New Land of Free Enterprise 
non-hateful,My Ralph Lauren jacket comes tomorrow. Im giving out free hugs so these bitches can know what high quality fabric feels like.
non-hateful,My True life episode comes on later on tonight at 8pm central time. True Life: I wanna be a tranny.
non-hateful,My Twitter app is poo trash.
hateful,My advice of the day: If your a tranny.....go fuck your self! 
non-hateful,My alarm clock should be $$$ callin lol wake yo ass up and get this money bitch !
non-hateful,"My arguement with she's the baddest white girl is ""she's trash"".Her argurment with she's trash is ""But she's paid""...."
hateful,My asshole credentials? Even rednecks hate me.
non-hateful,My aunt said I'm handsome fuck you hoes
non-hateful,My auto correct makes me sound so FOB
non-hateful,My baby Lexy. She is a whole ain't shit bitch in the winter. Sorry ass RWD that's her only flaw. Still love you tho 
non-hateful,My baby boy asleep with my monkey that I had since I was little! I love my son so much! 
non-hateful,My baby guinea pig is so cute 
non-hateful,My bad dawg. That's yo hoe &
non-hateful,My bad. That was about Why bitches act like I CAN'T READ or like words don't have a meaning.
non-hateful,My bae said u bitches watch y'all mouth lmao
non-hateful,My barber not bein able to cut my hair yesterday really prevented me from goin to the club and gettin mad bitches b he owe me 3 free cuts
hateful,My best friend loves Justin beiber what a fag &
non-hateful,My best friend says I don't need to be in love right now .... he thinks its too soon to love monkey....
non-hateful,My bestfriend is the BIGGEST bitch I know. That's why we are best friends lol.
non-hateful,My bf loves crows. Thought he might enjoy the last tweet!
non-hateful,My bird got a headache &
non-hateful,My bitch &
non-hateful,My bitch Remy stuck in 06 &
non-hateful,My bitch ass buddy pmo
non-hateful,My bitch ass like an allergic reaction she service my faction
non-hateful,My bitch bad
non-hateful,My bitch bad like Brittany but I wish I had Brittany
non-hateful,My bitch bad lookin like a bag of laundry
non-hateful,"My bitch bad piece, yo bitch got bad feet &"
non-hateful,"My bitch bad, she from the islands."
non-hateful,My bitch bre been ina good mood they free'd her young hogg &
non-hateful,My bitch can be anything except average
hateful,My bitch cold not average you couldn't fuck my last bitch
non-hateful,My bitch cold not average. You couldn't fuck my last bitch &
non-hateful,"My bitch educated, had her clients pay the payments"
hateful,My bitch from magic city she shaking ass &amp; titties 
non-hateful,My bitch get on my nerves
non-hateful,My bitch gotta be as fly as me if not flyer
non-hateful,My bitch pussy got hella powers
non-hateful,"My bitch pussy multi-purpose, it take this dick and hide my dope!"
non-hateful,My bitch say I'm in the dog house FUCK YOU MEAN
non-hateful,My bitch say I'm in the dog house fuck you mean
non-hateful,My bitch was so loaded last night &
non-hateful,My bitch won Ralphy for me. Thanks &
non-hateful,"My bitch work for chic fil and she says this is not real b ""RT TO SAVE A LIFE "
non-hateful,"My bitches are related . They are ""kissing cousins"" . &"
non-hateful,My bitches cleaning 
hateful,My bitches get them Christians nigga
hateful,My bitches not average. Spend money I got it. Ya girl want me she gon get fucked ain't no askin
non-hateful,"My bitches pop that pussy,pop that gum and pop pills"
non-hateful,My black queen dreading my hairs.Thank you Most High for this Moor Queen I asked you for.I want to BE BEtter with her 
non-hateful,My blue flag brite nd ya bitch blowing me like play bagpipes
non-hateful,My boy got the hoes now!
hateful,My boyfriend is such a smart ass bitch watch yourself you wear the pants but I fucking unzip them. K.
non-hateful,My brother doesn't know what American horror story is &bitch you lame ass fuck
non-hateful,My brother is a fucking pussy.
non-hateful,"My brother thincc im playing he keep putting the AC on 60, fuccing wit me I'll break it &amp; we will ALL be in this bitch burning UUUUP &"
hateful,My brothers ex was a fat hog man I swear this is the reason why he doesn't have any money or anything right now it's cause of that white hoe
non-hateful,My car so wet My bitch so wet when I drive i car pool
hateful,My cat is fighting the street cat carry through the glass in my room. What the hell. 
non-hateful,"My cat just rolled on me and said ""lets go run a game of 21, bitch"" "
hateful,My cats a bitch niggah.
non-hateful,"My cheapest, broke ass meal? I had some egg noodles but we ain't have no buter, no pepper, nothing. I put syrup on them bitches."
non-hateful,"My clothes are always retro, sexual like im hetro, and I play a bitch like nintendo, takee her for a ride in my benzo.

-"
non-hateful,"My cousin bio on her Instagram ""light skin, dark skin, brown skin bitches holla at me"" she funny as hell"
non-hateful,My cousin just said these hoes ain't shit. Idk why they want me. I ain't shit either. Got me dying over here lol
non-hateful,My dad goes son of a bitch and just lights a cigarette in the kitchen... Oh&
non-hateful,My dad is a bitch.
non-hateful,My dad is such a bitch
non-hateful,"My dad just said ""Karl was always the biggest pussy of all 3 of the kids, I'm sorry Karl, but... You're just a pussy"" I love my dad LMFAO"
non-hateful,My dad just told 's dad to text one of their friends and say hashtag pussy. Hahahaha I'm done
non-hateful,"My dad talking about my dogs fetching skills ""I seen that nigga do mad shit, air bud my ass, air pussy"" &"
non-hateful,"My dad's friend was telling my dad and I about how he ""got some good pussy last night"", and how she was a ""good lay"". It was a real bummer."
non-hateful,"My dads side of the family is ghetto af, my moms side if the family all prim and proper. Haha"
non-hateful,My dawg told me it's a must I be this Saturday ROCKIN that bitch wit Tha&
non-hateful,My dick wants some pussy
non-hateful,"My dick, your bitch on it."
hateful,My doctor tonight is such a miserable cunt. Even my nurse is pissed off. She's been here since 7PM and hasn't come to see me once.
non-hateful,"My doctors office is retarded, ""we noticed you put in a prescription order, so we canceled it. Give us a call if you need a refill, thanks!"""
non-hateful,My dog is number 1 bae and way over these hoes &
non-hateful,My dog just lifted her leg to pee. She's such a butch bitch.
non-hateful,My dogs man I remember ok girl text my phone on they bs squads was ready deep thenna bitch ready to go
non-hateful,My down bitch &my crime partner &ima bitch when he get mad &my lil doctor &
non-hateful,"My duck got big as fuck. 

Yes, duck, like the bird."
non-hateful,My dumbass has a redskins mcnab jersey
non-hateful,My ex just wanted a reason to continue to be a whole hoe outchea and tried to make me feel bad for a comment from a thirsty.
non-hateful,"My ex wanna work it out, bitch try yoga"
non-hateful,"My expectations are high when it comes to anything. My weed my pussy my food,my clothes n kicks, people. that shit needa be a1 to me"
non-hateful,My eyes brows finna be on fleekate fleek bitch &
hateful,My eyes feel so chink eyed
non-hateful,My favorite DC restaurant is Charlie Palmers. 
non-hateful,"My favorite is that's a dumb bitch, who just posted a pic and isn't sure she should have or not!"
hateful,My flow retarded &
non-hateful,My goal for soccer this year is to get a yellow card every game
non-hateful,My goal one day is to own a nice Rolex and wear that hoe everyday
non-hateful,"My god mother thinks im a stoner because she has someone watch my tweets lmfao, no ya boy clean as nikki minaj pussy"
non-hateful,My grandma threw out all of my raps. Ones I made from 7th grade to now. I'm literally crying. Thats all my work in the trash. &
non-hateful,My grandpa hooked his friend up with some pussy in Vegas. 
hateful,My hair is one of a kind so dont ever fix your mouth to say our hair is alike cause guess what hoe IT AINT.
non-hateful,My hair is trash. I need to put a masque on it.. But that takes so much energy that I don't have.
non-hateful,My head too big for snapbacks&&I like beanies better anyway&
non-hateful,My high school need to gon and throw a hood reunion party. Everybody knows we was ghetto as hell.
non-hateful,My hobbies consist of sleeping &amp; subtweeting about random people from school that don't even know me because I'm a judgemental bitch
non-hateful,My hoes Trippin lol
non-hateful,My hoes love to go shoppin
hateful,My hoes they do drugzzz
non-hateful,My homeboy got a hoe number on house arrest ... i said that's good she won't ask to go anywhere
hateful,"My honky, my honky. My motherfucking honky."
hateful,"My house is so piece full, thank god these little jungle bunnies are outta my face"
non-hateful,"My job some hoes, how you gonna call at 7:34 talking bout come to work at 8 &ummm no I'm staying in bed."
non-hateful,My life is going to a bitch for 6 short weeks
non-hateful,My lil bitch a vet she say she need a dog
non-hateful,"My lil bitch just called me, said she needa break. But you can leave.. Cuz bitch I'm doin GREAT!"
non-hateful,My lil cool ass bitch she from northside &
non-hateful,"My lil cousin be hating. Bitches always want the older nigga, not my fault nor did I fuck the bitch so chill..lol"
non-hateful,My main bitch &amp; my side bitch mad at me I could give two fuckssss
non-hateful,"My main bitch and my side bitch mad at me, I could give two fucks.... all I need is two cups"
non-hateful,My main bitch called to tell me she missed me. &super cute love you boo. 
non-hateful,My main bitch is a ghost
hateful,My main girl Tryna get a blessing why my side hoe Tryna get affection
non-hateful,My mains riri22barbie georgegia yessssss turntup. bitches &
non-hateful,My mama made me some brownies they was everything &
non-hateful,"My manager new brand | PRE - ORDER NOW w/
 (404) 394-1570&""Red Lust"" &amp; ""Cherry White"" beanies "
hateful,My manager is retarded bruh always asking siri some spellings. &..this nigga is dum af doe
hateful,My managers a stupid cunt yes I said it
non-hateful,"My mentions &amp; tl moving fast af sorry if I'm flooding yo shit 
I'm lowkey tryna get off this hoe for yall"
non-hateful,My mf dawggg &I miss this hoe man 
non-hateful,My mom bitches too much
non-hateful,My mom didn't buy me Oreos she doesn't love me
hateful,My mom is a cunt
non-hateful,"My mom is so clueless to what's going on with me lol she like ""you can't trust negros witcha money"" lmfao whaaaat?"
non-hateful,My mom just bought a bunch of new sandles &amp; then chipped her toe nails now it's like World War 3 in this bitch
non-hateful,My mom seen my progress report &amp; was like so wtf is up wit this B bitch wtf do you NOT see them 7 A's &tf she just Ungreatful &
non-hateful,My mom told me never use the word cunt... ITS MY FAVORITE WORD!!! Cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt
non-hateful,My mom wants to buy a zebra like for reals
hateful,My mom's a fucking cunt dude.
non-hateful,My mom's younger brothers gonna come disrespect my mom &amp; call her a bitch &amp; my cousins gonna tell my mom to STFU! Wth..
non-hateful,My momma keep talking to me like bitch gtf I'm on Twitter.
non-hateful,My moms a worse bitch than me like ugh I can't stand that hoe.
non-hateful,My mother even bitched his bitch ass ctfu
non-hateful,"My name is Bryanna you can find me at I'm the baddest bitch you'll meet, because everybody wants to be me&"
hateful,My neice getting so big ... She ready to punch on sum bitches lol 
hateful,My neighbors be sick when i wake um up to all this nigger music ctfu
non-hateful,My neighbors hate me cuz i smoke weed and blast the most ghetto music from my room.
hateful,My nephew albino albinos have astigmatisms eye spasms partial blindness its not their faults
hateful,"My nephew keeps tryna kiss me and I'm like bitch you got zero followers, dismiss yourself."
non-hateful,My new bitch eat a dick like a bratwurst
non-hateful,My new bitch finer than a mf but I don't understand shit she say &
non-hateful,My nicca swear he can see me in madden lol
non-hateful,My nicca Drake gear game is all bad lol
non-hateful,My nicca Tip can't act for shit in 
non-hateful,"My niccas on sum spooky shit, hide n a cut pop out n drop a bitch"
hateful,My niccas was too Real fa these Streets Ike Nwax 
non-hateful,"My nig """"yes black people live in Wisconsin lmao da shit out me too "
non-hateful,My nig Todd Gurley a beast
non-hateful,"My nig been talking bout what he gonna be for Halloween since July, to excited!"
hateful,My nig jus found out his girl fuckin anotha nig so he meets up wit dis nigga.....
hateful,My nig jus said ain't nuttin worse den a fat loud hoe.tru fuckin story
non-hateful,My nig kkeldalegend took me out for some more of that good old New Orleans soul food! 
hateful,My nig said he don't see the differences between pornos and monster ball.... My face &
non-hateful,My nigga Bolin does NOTHING but win with the bitches breh
hateful,My nigga calls fat bitches &porkers&lmao
non-hateful,"My nigga dm'd a bitch and said ""ur eyes are so beautiful they melt me"" lmaoooo nigga thought he was reading a romantic comedy movie script"
non-hateful,My nigga got me hanging out with his fat catfish bitch smh
non-hateful,My nigga mister meaner just hope back on the bitch
non-hateful,My nigga so stiff but his bitch even stiffer &Me that is &
non-hateful,My nigga was drinking Gatorade like it's not Dumass hot lol bitch drink water
hateful,My niggah
non-hateful,My niggah I slept perfect
hateful,My niggah I was waiting all weekend to take these shits &
non-hateful,My niggah my niggah...
non-hateful,My niggah watch me be awake till 5
non-hateful,"My niggas bigger then the bouncer, roll up in the bitch still smell like an ounce"
non-hateful,My nigguh
non-hateful,"My nigguh
Me naturally forever be fly!"
non-hateful,My nips are cold &
non-hateful,My nudes are trash.....
non-hateful,"My partna from Mississippi told me 2weeks ago, ""I got 2 weeks to fuck all these ok hoes, 2014 I'm stepping my game up"" &"
hateful,My phone acting retarded
non-hateful,My phone is finally back on bitches! no more TextNow
non-hateful,My phone on 10% fml I still gotta get to the yellow sign lol lol btw I zoomed in 2x lol 
non-hateful,My pits be stankin from doin dem flows. Is hard on a ol colored body in da heat. Dem white women be pushy when day want dare flows fixed
non-hateful,My playlist goes something like this smoke tracks for my niggas reggaeton/bachata for the bitches and slow jams for that lucky lady
non-hateful,My po heart still beatin fast da way dat nigger scream into dat microphone. I felt like I be at da welfare office and cut da line
non-hateful,"My problem is I got a STRONG ""IDGAF"" attitude. Ion show NO Feelings to these pussy mfs &"
non-hateful,My problem is caring about bitches &amp; noggas
