id,test_case,label_gold,target_ident,direction,focus_words,case_templ
11884,"1) Fuck dem kids
2) fuck conservatives
3) IF I WANT BIRTH CONTROL BECAUSE I WANT TO BE RAWDOGGED IN THE BACK OF AN APPLEBEE…",non-hateful,,,,
11885,Further proof that any organised religion is full-on bullshit,non-hateful,,,,
11886,"my sister has birthday today, it would mean everything to her if you wished her a happ… ",non-hateful,,,,
11887,"Oh glory days, the ?? are TRIGGERED. Couldn’t happen to better bunch of morons. People are sick of being told we are racist (…",non-hateful,,,,
11888,Thor needs to knock that clown Winker on his ass tomorrow,non-hateful,,,,
11889,There will never be another All u young spittaz tryna copy his style are fake fucking frauds. Shit versions.…,non-hateful,,,,
11890,"? Labour’s reckless plan would hand benefit payments to the rich and cut suppoto those that need it most.

?? It would a…",non-hateful,,,,
11891,"Good morning, everyone.
Following one of the worst days of my life I just want to formally apologise for the outrage I caused…",non-hateful,,,,
11892,this what you get for tryna get kfc ??????????as if popeyes isn't superior,non-hateful,,,,
11893,earphones ko ??????????????,non-hateful,,,,
11894,I think people need to realize that not all ais for everyone. People who find  's i…,non-hateful,,,,
11895,"i’m tired as fuck. and man, physically ain’t SHIT. i’m mentally DRAINED. i’m fucking done bruh.",non-hateful,,,,
11896,Not my President!! ,non-hateful,,,,
11897,“Bitch it’s going to melt” ??????????????,non-hateful,,,,
11898,What a horrible fucking finale. It should be a crime for what these show runners did to this story ,non-hateful,,,,
11899,"FACE OF MAY 2019
Vote by Retweeting
To register for Face of June
Get started here - … 
Then pay…",non-hateful,,,,
11900,so fuckin what im a whole ass human and should have every right to yank that bitch out without going to jail,non-hateful,,,,
11901,You know how Thor has a torn half-cape in Ragnarok? Loki would tear/cut his cape as he… ,non-hateful,,,,
11902,"RETWEET: Obama slips up and admits he was an illegitimate and unconstitutional, foreign President, bo…",non-hateful,,,,
11903,"*wiping tears from my eyes*
Fuck steph and kd,",hateful,,,,
11904,america's ass never fails us,non-hateful,,,,
11905,today marks the last day i gave a fuck,non-hateful,,,,
11906,"Reporter asks just say a snake bit your mom in the chest area, would you suck the venom out to win the t…",non-hateful,,,,
11907,"tell cersei, i want her to know it was me ",non-hateful,,,,
11908,"Kamala Harris: ""This Attorney General lacks all credibility and has, I think, compromised the American public's ability t…",non-hateful,,,,
11909,BIT DUA'S PERFORMING WITH BLACKPINK WHATRTTFFFCCSHSH,non-hateful,,,,
11910,what a fucking stupid article,hateful,,,,
11911,"A cheap suit like you, Schiff, should be able to prove your claim. But you're just a cheap suit, with a big mouth.",non-hateful,,,,
11912,Your friend that is not my friend should never know my business??,non-hateful,,,,
11913,These suck fuck 2 ,non-hateful,,,,
11914,"Ah, you're better than this love",non-hateful,,,,
11915,ashlea is singing the wii theme tune but it took me a solid 30 seconds to work out that’s what it was bc she’s that shite xx,non-hateful,,,,
11916,I JUST SUBMITTED MY LAST FINAL PAPER IM FUCKING FREE BITCHES ,non-hateful,,,,
11917,I thought I am the only one who thought that this little boy looks alike P'Peck ?????? but then I clicked this hanstag ,non-hateful,,,,
11918,"??: who do you want to collaborate with?
??: RM!!!!! R~~M~~!!!!
??: come on shut up
??: ??????

[BTS ht…",non-hateful,,,,
11919,17 hours on a minibus ??????? what the fuck are we thinking,non-hateful,,,,
11920,"If you're meditating in a cave, keep your cameras away mate.",non-hateful,,,,
11921,"when a guy picks up ur chin to kiss you like yess that's what I like, u go, u get it",non-hateful,,,,
11922,?? On the road again!?? (sing it with me). We’re on our way to GiGi &amp; G-Pawls to help them and to celebrate Mother’s Day…,non-hateful,,,,
11923,6:48am dude yo shit was boomin boomin,non-hateful,,,,
11924,"A Mother's Work is Never Done
A mother's earthly work may never be done, but her heavenly work is eternal.… ",non-hateful,,,,
11925,I fucking love the new filter on Snapchat that guys post looking like a bad bitch ????,non-hateful,,,,
11926,creme brulee or brown sugar milk tea or what so called trendy drinks like this are just basically sweet cendol with harga ya…,non-hateful,,,,
11927,REALLY PROUD OF YOU! I WILL NEVER GET TIRED TO TELL YOU THIS!?? ,non-hateful,,,,
11928,"M so fucking mad they just gave them the price on the red carpet, like bitch what you on? SOMEONE HOLD ME BECAUSE IF SOMETH…",non-hateful,,,,
11929,See what I found on my curious cat o! Is this a joke or what now???? ,non-hateful,,,,
11930,the 93 moots who follow james charles u have 24 hours before i cut yo ass off so get to unfollowing or else ??,non-hateful,,,,
11931,can u fucking chill it wasn’t him ,non-hateful,,,,
11932,"down down baby we going ko ko bop EXO 
",non-hateful,,,,
11933,"It fucking begins. 

They are NOT testing ALL women, just the ones who don't look feminine enough.

Kenya drops two sp…",non-hateful,,,,
11934,“You don’t look Filipino” what am I supposed to look like? Adobo pancit lumpia kili kili or what ,non-hateful,,,,
11935,I just want to die. LOL. Too tired to still live and breathe. ??????,non-hateful,,,,
11936,"1T having fun with food and restaurant planning in English today!   We’re all hungry now! A big well done to Jack,… ",non-hateful,,,,
11937,Lol you’ll probably never place one again unless your in urology,non-hateful,,,,
11938,"alina did too but you don't see me yapping cuz she's actually talented oopsie 
if yo… ",non-hateful,,,,
11939,"Sometimes I think, are there any people who see my arts and just: ""Oh no, is that the one that does those shitty seafire stuff""",non-hateful,,,,
11940,"Our Economy and Jobs Market is BOOMING, the best in the World and in our Country’s history - and we have just started!",non-hateful,,,,
11941,"“You ever cry again, it’s gone be in a Rolls Royce” ... Lordtttt I need that type of energy!!! Lol just someone who doesn’t w…",non-hateful,,,,
11942,the way he has his eyes closed while waiting for the hat to be put on him and his little smile after:( him is baby ,non-hateful,,,,
11943,So spineless a strong wind would blow him away.,non-hateful,,,,
11944,"Not a single Arab has ever shot up a school. This isn’t only racist, it’s stupid. Every school shooter looked like your All-A…",non-hateful,,,,
11945,Sick!!!! And if his mother felt this way? He wouldn't be here would he...so pathetic! Excuses are ju… ,non-hateful,,,,
11946,Oh now I get it When the little bitch man is trying to DOX young teenage girls he’s a tough guy but someone his own… ,non-hateful,,,,
11947,who the fuck is everyone ,non-hateful,,,,
11948,You're very foolish for that question mark ,non-hateful,,,,
11949,"&gt;10 FREE TIX LEFT!
""Listen Up Startups: Why You Need a Board and How to Build One""
Join us June 11 — bring your que… ",non-hateful,,,,
11950,And trump wasn't on camera saying he grabs women and they all want to sleep with him. He… ,non-hateful,,,,
11951,Being this comfortable and getting cheated on is what will fuck someone up beyond belief ,non-hateful,,,,
11952,Y’all don’t give a shit. I don’t either. Fuck y’all ,non-hateful,,,,
11953,a rivet instead of a lock stops all pathetic begging for release... ,non-hateful,,,,
11954,"Damn Rob, you need to go back to school.",non-hateful,,,,
11955,Is this real ? What the fuck OMG ,non-hateful,,,,
11956,I am proud to be a gay son of God.' — This valedictorian came out during his graduation speech at Mormon university BYU h…,non-hateful,,,,
11957,have you ever just randomly cried because you’ve been holding shit in for too long?,non-hateful,,,,
11958,Fucking kill me,non-hateful,,,,
11959,"me at 6 y/o: bilingual, cute, smart, quiet, mentally healthy, able to do math with my fingers

me at 20 y/o: illiterate, ugly…",non-hateful,,,,
11960,"Morning America????My Awesome Patriots Rock &amp;
Roll For God,USA,Justice!
Luv President Trump,ICE,
Blue,Military! Never Ha…",non-hateful,,,,
11961,Hey you need to cut ties with this entire family! All brands that sponsor Janelle need to stop!! Do you see what y…,non-hateful,,,,
11962,"Kylian Mbappé at 20:
- 1 x World Cup
- 1 x U19 Euros
- 3 x Ligue 1
- 1 x Coupe de la Ligue
- 1 x Coupe de France
- 1 x Trophée de…",non-hateful,,,,
11963,If you not my man I promise I don’t give a fuck about you and I mean this in the most disrespectful way possible,non-hateful,,,,
11964,"Do you want to see our TOTAL VOTES ACCUMULATED FOR TODAY?

To unlock
?? 11,000 RTs 
?? 4,000 Replies
In just 1 hour... 

",non-hateful,,,,
11965,Ah shit mtvs running a little late,non-hateful,,,,
11966,"Huh? 

It a fucked up black hole to get sucked into. 

Should they go… ",non-hateful,,,,
11967,The X-Plus 30cm Series Yuji Sakai Godzilla 1995 RIC sold out at the U.S. store a couple of days ago. Now it's sold… ,non-hateful,,,,
11968,The entire shit show went exactly like I thought it would so I'm holding up just fine. However my ange… ,non-hateful,,,,
11969,i might not fuck w you but i don't wish bad upon you. we’re all grinding trying out new paths no hard feelings.,non-hateful,,,,
11970,"they could easily have said “bucky, peggy, im with you” BUT THEY CHOSE TO FUCKING PUT “I LOVE YOU” i love my bisexual ico…",non-hateful,,,,
11971,"This reminds me of how dictators in third world countries work. Huh, guess that’s America now",non-hateful,,,,
11972,But for Jack? No one else could rein him in the way Jack could. Could cut through his bullshit and brav… ,non-hateful,,,,
11973,Well this is a *heck* of a piece of writing. I'll be pointing people to it and quoting from it for a long time to come?-…,non-hateful,,,,
11974,"Me: Getting my IUD hulike a bitch but it felt like my only safe option. 

A man who has never ever not even once had his…",non-hateful,,,,
11975,Zach Pronschinske gets a pair of strikeouts to end the bottom of the eighth as UW-Whitewater strands runners at fir… ,non-hateful,,,,
11976,Fucking hell man,non-hateful,,,,
11977,Not Deion ass ????????? ,non-hateful,,,,
11978,what the actual fuck is happening in the u.s... ,non-hateful,,,,
11979,Get it on,non-hateful,,,,
11980,"Remember when the Post got all over Eric Holder for stonewalling Congress, being found in contempt and for declaring himself…",non-hateful,,,,
11981,bees really out here throwing ass now ?? ,non-hateful,,,,
11982,Shoanswer: YOU need to GO AWAY!,non-hateful,,,,
11983,"Cristiano Ronaldo 2011/12 The Most Complete Player Ever

 ",non-hateful,,,,
11984,"“WhAT’s THe moVe tONiGht?”
Stfu you’re failing two classes go study",non-hateful,,,,
11985,I have a small scrape on my hand which I covered with a bandaid because it's uggo,non-hateful,,,,
11986,I think she’s mad you didn’t know her name,non-hateful,,,,
11987,you’re so welcome ????,non-hateful,,,,
11988,"wow, such the smartass you are, huh, pedophile?",non-hateful,,,,
11989,Shit. I'm fucked now. ,non-hateful,,,,
11990,I’d be one fine ass hoe out in these streets. ,non-hateful,,,,
11991,such cuties holy shit,non-hateful,,,,
11992,Call me Ishmael. Seriously dude it's important call me as soon as you get this text. We're gonna go fucking get Moby Dick d…,non-hateful,,,,
11993,SO NOW JON GOING BEYOND THE WALL TO LIVE AS A WILDLING FR WHAT THE FUCK WAS THIS SHIT?!?!?,non-hateful,,,,
11994,"Boy stop fuck yo yourself and go drink a stag, Carib trash ??",non-hateful,,,,
11995,"Rep. Ilhan Omar says “America is not going to be the country of white people.”

Nobody said it was.

But I can tell you…",non-hateful,,,,
11996,2019 is teaching me the importance of group energy. there’s some shit that is possible to do by yourself that people you t…,non-hateful,,,,
11997,If you ain’t industry I don’t fuck with you,non-hateful,,,,
11998,ok true. Fuck seungri but music wise i kinda liked them. Ohhh hyukoh is pretty nice too,non-hateful,,,,
11999,i dropped my headphones in my apple juice fuck this 'fate',non-hateful,,,,
12000,"I've been putting out albums for a quarter century. If you’re just discovering my music now, you may not know where to sta…",non-hateful,,,,
12001,Fuck sports ?? what’s up wit the money though?,non-hateful,,,,
12002,My hoes always playin wen its crunch time dawg smh these bitches better be the same way wen it’s time for me too go to the zoo n shit ??,non-hateful,,,,
12003,the amount it costs to adopt someone is literal proof that the government does not give a single fuck about poor pe… ,hateful,,,,
12004,taegi: is there something you fucking NEED ,non-hateful,,,,
12005,she deserved a fucking movie BEFORE Captain Marvel I said what I said ,non-hateful,,,,
12006,An acting ass actor. Dinklage.,non-hateful,,,,
12007,lol what the fuck is this Shakespears Sister performance on Graham Norton,non-hateful,,,,
12008,WHAT THE FUCK ,hateful,,,,
12009,"“ If people want to hate me, I can't stop them. But it's not going to stop me from doing my job. You wanna know why? Bec…",non-hateful,,,,
12010,We've all known from the day Barr opened his lying mouth to Congress he was only interested in covering trump's crooked ass…,non-hateful,,,,
12011,"STILL. CAN'T. GET. OVER. THIS. PICTURE. ??????????

Sis'Zamo they're honestly no words to describe the level of admiration I have…",non-hateful,,,,
12012,do you even know what sober is ?????? fuck off,non-hateful,,,,
12013,Whoever forgot to tell Putin about that carpet better not go near open windows in tall buildings this weekend.,non-hateful,,,,
12014,Fuck your book,hateful,,,,
12015,She gonna die from taking this big ass dick. ???????????? ,non-hateful,,,,
12016,"If anti-vaxxers wanna fucking die because they don’t, “believe” in medicine, it’s ok, go ahead, they should get ext… ",non-hateful,,,,
12017,"Oh my fecking god.....
Did i just hear Scott Hypocrite say we have to have respect for old people?
HOW FUCKING DARE HE.????????
Af…",non-hateful,,,,
12018,At work until tomorrow morning. iMessage games welcome,non-hateful,,,,
12019,Please y’all i work to fuckin hard for my shit ,non-hateful,,,,
12020,no shit! defending slavers is pathetic.,non-hateful,,,,
12021,Can never be me but You??,non-hateful,,,,
12022,This shit needs to stop broooooooooooooooooooooo. ??,non-hateful,,,,
12023,Coming close to 150 followers and I’m thinking of doing a giveaway,non-hateful,,,,
12024,but i mixed the shit with water and the substance and both sides agreed with eachother some girl that had respect f… ,non-hateful,,,,
12025,I would rather die of thirst then drink a fucking root beer,non-hateful,,,,
12026,hOLY FUCKING SHIT I FORGOT I CHANGED MY SISTER’S CONTACT AND TGE SHEER TERROR THAT FILLED MY BONES WHEN I RECIEVED THIS T…,non-hateful,,,,
12027,"Here's Corbyn's adviser Andrew Murray (father of Labour's head of complaints), defending the murderous tyrant, Stalin.

'S…",non-hateful,,,,
12028,need sum nasty ass sex like this?? ,non-hateful,,,,
12029,Ima tell her bitch watch yo mouth dont be sorry be careful bitch that's my nigga pill cosby,non-hateful,,,,
12030,I don’t kiss ass but I do apologize in situations that were my fault,non-hateful,,,,
12031,?? Will the Raptors show up and help Kawhi defend home couor is Milwaukee going to go up 3-0? ??????… ,non-hateful,,,,
12032,"UNTUK KALI KE BERAPA NTAH , AKU HARAP SANGAT

CLEAR SKIN BEFORE RAYA
CLEAR SKIN BEFORE RAYA
CLEAR SKIN BEFORE RAYA
CLEAR SKIN…",non-hateful,,,,
12033,"if you’re a slut for iced coffee and saving the environment (like me), Starbucks is selling a reusable color changing cu…",non-hateful,,,,
12034,Sometimes I get mad at myself Bc I was really close to certain people that I’d never ever want to be friends w again. I se…,non-hateful,,,,
12035,it’s mental health awareness month &amp; i don’t think i’ve ever been less mentally healthy,non-hateful,,,,
12036,"my future mother in-law: what will you cook for my son

me: ",non-hateful,,,,
12037,FUCKING DECEASED ?????? ,non-hateful,,,,
12038,I’m definitely not gon be doin this shit long ??,non-hateful,,,,
12039,You're a bright and shining star!,non-hateful,,,,
12040,if you had one of these growing up you’re a guaranteed bad bitch now. ,non-hateful,,,,
12041,Fuck me please let me suck that cock dry and clean,non-hateful,,,,
12042,off the rack ass,non-hateful,,,,
12043,its just nice to have a big fucking wall with an armed organization to guard it y'know? for old times sake,non-hateful,,,,
12044,That's okay it's obvious you are a trump hater and you rather do that… ,non-hateful,,,,
12045,She so damn beautiful,non-hateful,,,,
12046,what the actual fuck???,non-hateful,,,,
12047,Fuck Steph Curry,non-hateful,,,,
12048,TUNE IN TODAY!! “EVERYTHING” SouloftheStreets 3-5pm EST ,non-hateful,,,,
12049,"Porto’s Bakery is coming to Northridge, and we know where it’s planning to open ",non-hateful,,,,
12050,"I think it's our responsibility to tell everyone about our PM where doing Meditation ???????

Excellent details about the Mod…",non-hateful,,,,
12051,i have two holes for a fucking reason ,non-hateful,,,,
12052,still a bad bitch,non-hateful,,,,
12053,"Attorney General Barr cancels second day of testimony, escalating battle with Congress - Reuters - Crooked Ass ",hateful,,,,
12054,"It's May 19, 2019 at 11:00PM!",non-hateful,,,,
12055,"a haiku by Seunghyub

my legs are so long
look at my good proportions
fuck all shopeople ",hateful,,,,
12056,“I can’t tell if that’s a fucking crackhead or a hipster”- my mom driving downtown,non-hateful,,,,
12057,"When you play the game of thrones, you win or you die.

The series finale premieres tonight at 9PM on ",non-hateful,,,,
12058,They're after me,non-hateful,,,,
12059,"me: i should go to bed early tonight 

me at 2 am: ",non-hateful,,,,
12060,"5.Through Regional Office of HRC in Bangkok, they agree to have a better preparation and timing to the visit…",non-hateful,,,,
12061,no offense but we literally bought a Revolutionary War to not give a fuck about an unelected monarch,non-hateful,,,,
12062,That is fucking creative tbf ??,non-hateful,,,,
12063,Don't ask me how I feel about it I don't give a fuck,non-hateful,,,,
12064,"Dad you’re embarrassing me in front of my friends. Is it hot in here, or did you just get burned? Oh, sorry. How insen…",non-hateful,,,,
12065,“he took my virginity and left me for his SISTER. TRASH” ,non-hateful,,,,
12066,"Rudy, you’re either a lunatic, or senile!",non-hateful,,,,
12067,It was Trump who cheated on his wife.After she…,hateful,,,,
12068,baby Future when he wanted a Big Wheel but dad handed him a Rolex instead ,non-hateful,,,,
12069,"I don’t fuck wit like that no mo but i never turn down a good turn up. 

Me and my Turks hating from outside th… ",non-hateful,,,,
12070,trash,non-hateful,,,,
12071,Bill Barr's inability to answer question about whether the president or anyone in the White House su…,non-hateful,,,,
12072,Bruh.... I thought I was the only one who noticed... his ass be saying a whole lot of nothing,non-hateful,,,,
12073,plot twist loki is actually alive and he’s n00bmaster69 on fortnite that calls korg a dickhead for shits and giggles,non-hateful,,,,
12074,‘Are you tired little guy??’ :(((,non-hateful,,,,
12075,i really thought with my whole ass chest that bran would show jon a flashback of rhaegar at the trident or something ??,non-hateful,,,,
12076,People are always like “ur so brave for being so open about your mental illness!!” and I always wanna be like “oh that’s ac…,non-hateful,,,,
12077,"?? ??

Love her. Would love to fuck her on camera

",non-hateful,,,,
12078,"""I found you.""
""I found you too.""

181014

",non-hateful,,,,
12079,you're welcome,non-hateful,,,,
12080,when the relationship dead but yaw keep fucking ,non-hateful,,,,
12081,"ah, I get it...SNP supporters abused you",non-hateful,,,,
12082,I HAVE MADE THE FUCKING DISCOVERY THAT WHEN I SAID “YOU SAVED MY LIFE” TO FELIX HE REPLIED “YOU SAVED MINE”,non-hateful,,,,
12083,"Those “invaders,” you stupid little racist child, do a lot of the agricultural and construction work th… ",non-hateful,,,,
12084,Shout out to the adult on the porch who watched this entire scenario unfold and just fucking sat there. ,non-hateful,,,,
12085,one day bts will be so tired of collab question that jungkook willl straight away say that he wants to collaborate with floy…,non-hateful,,,,
12086,namjoon is one of the most incredible human beings i’ll ever have the pleasure of knowing. i could never explain how he’s hel…,non-hateful,,,,
12087,i would die for keanu reeves i think ,non-hateful,,,,
12088,This Chi shit ??????,non-hateful,,,,
12089,someone tell me why tf i put myself in these situations. why cant i just be a heartless bitch and not give a fuck? GEEZ,non-hateful,,,,
12090,I know y’all are not hip to these cute ass sandals I just found at Old Navy and for the price y’all ???????? ,non-hateful,,,,
12091,It is Monday. I am NOT in the mood for y’all bad ass breath.,non-hateful,,,,
12092,I have never worked on my birthday. Nor gone to school. ??,non-hateful,,,,
12093,ok you’re such a bigger john mayer than i am wow good job,non-hateful,,,,
12094,how to suck his dick. ,non-hateful,,,,
12095,OMG THEYRE LIVE,non-hateful,,,,
12096,"It’s really crazy how some of y’all will have a person that is such a blessing too you ,but you still fuck them ove… ",non-hateful,,,,
12097,Get fucking Vice ,non-hateful,,,,
12098,"“If you give up, nothing will eve get better in our country, or our world” - Senator Jennifer McClellen ",non-hateful,,,,
12099,"Thank you, 

Lindsey Graham saying ""Trump is a fucking idiot"" on loop.??????
",non-hateful,,,,
12100,I CAN DIE IN PEACE NOW ,non-hateful,,,,
12101,It’s sick ??,non-hateful,,,,
12102,"Kinda want to go to the hot rub, kinda want to smoke amd go to bed??",non-hateful,,,,
12103,"20 ??9 days to go! See you there! 
",non-hateful,,,,
12104,"Trump fits in nowhere. He is too stupid for business tycoons, to crass for Hollywood, too ignorant for democrati…",non-hateful,,,,
12105,"""Pete Buttigieg is a Christian because he has chosen to follow Jesus. Full stop.
He doesn't need your permission, doesn'…",non-hateful,,,,
12106,You're the ROLLING to my THUNDER!!! KEEP BEING YOU!!!!!!,non-hateful,,,,
12107,I can only imagine how fucking stressfull it can be to get continuously bombared about shit on the pl… ,non-hateful,,,,
12108,Fuck them niggas for life the way they did me wrong.,hateful,,,,
12109,I think ima do fine on my final but I gotta find a way to cheat .. just in case,non-hateful,,,,
12110,Harris just did some of that prosecutor shit.,non-hateful,,,,
12111,Up next: Ohio outlaws fucking,hateful,,,,
12112,holy fuckin Shit iam so hppy ,non-hateful,,,,
12113,i really hope nobody gets huover this Mozzy / Philthy Rich beef but at least there's some hard ass records coming out as a r…,non-hateful,,,,
12114,"jon snow, heabroken as fuck.",non-hateful,,,,
12115,Ain’t shit to do but think,non-hateful,,,,
12116,I like to think so,non-hateful,,,,
12117,I hope someday my future husband wouldn't mind to spend some money for me to be this pretty after giving birth to his kids…,non-hateful,,,,
12118,"Maybe we should stacalling Loki, Loki Friggason because at least she is a mom to Loki.
His biological dad left him to…",non-hateful,,,,
12119,ah shit here we go again ,non-hateful,,,,
12120,"In relationships, you’re never going to agree 100% with the other person. Respect each other and keep the peace because…",non-hateful,,,,
12121,You’re welcome~,non-hateful,,,,
12122,Watch my fuck a fan video!! —-&gt; playing on my private Snapchat ???? ,non-hateful,,,,
12123,Shit it might go 5 games but they damn sure ain’t going out like that,non-hateful,,,,
12124,I don’t know who need to hear this but CREAM IS NOT WHITE??????,non-hateful,,,,
12125,when memphis has the number one recruiting class and everyone wants to come out of the woodwork to tell us how big… ,non-hateful,,,,
12126,Brie looks like a father of two-,non-hateful,,,,
12127,I NEED THIS. HELP ME ,non-hateful,,,,
12128,Delusional. It is unbelievable how many stupid People are out there living…,non-hateful,,,,
12129,‘ One thing about me none of my friends can say i fucked someone they talk to went with or fuck ?? bitches snakes I… ,non-hateful,,,,
12130,"Well, when you gotta go, you gotta go!!",non-hateful,,,,
12131,"I don’t know where I’m going, but I’ve got to go...",non-hateful,,,,
12132,If I can’t pick you up I can’t fuck with you*,non-hateful,,,,
12133,I am a professional Web and Graphic Designer. do you need any kinds of business card. portfolio:… ,non-hateful,,,,
12134,Minus the baby. And I’m with all the dumb shit. ???????? ,non-hateful,,,,
12135,I don’t think my tummy has ever been like this . Even when I was a fetus ,non-hateful,,,,
12136,If Nicki would have EVER.,non-hateful,,,,
12137,if you’d fuck Genie Bouchard on her yacht ???? ,non-hateful,,,,
12138,not a damn day passes where i do not think about this ,non-hateful,,,,
12139,"It's length is certainly a draw, which helps if you need to reread it to verify how good it is.",non-hateful,,,,
12140,My neighbors are blaring Eye of the tiger and I can’t help but think something’s about to go down...,non-hateful,,,,
12141,"in video:

I’ll eat this well/deliciously.
I’ll cut a bit of this/I was just cutting some of this (a bit hard…",non-hateful,,,,
12142,have you ever felt like you don’t know what’s going on anymore? like you don’t feel anything and you’ve lost your motiva…,non-hateful,,,,
12143,I think you are younger then me.,non-hateful,,,,
12144,You’re like the unofficial mr Xavier twitter edition. You’re hilarious as hell bro ??,non-hateful,,,,
12145,Ahha you're my accountant now low-key,non-hateful,,,,
12146,running on no sleep and just did my makeup in a public bathroom here we go ,non-hateful,,,,
12147,he not the only one that can put two balls in his mouth ,non-hateful,,,,
12148,"You don’t need lube when you fuck a gangbang whore. His hole is wet, sloppy and smooth as butter. It’ll make your dick extr…",non-hateful,,,,
12149,This damn iPhone acting tf up ??????????????,non-hateful,,,,
12150,Why cheat when you can be single and don’t have to worry about a bitch all in yo mix ?,non-hateful,,,,
12151,"Nobody:

Me: after my bitch get out the shower  ",non-hateful,,,,
12152,"taemin throwing his pancake ass 
",non-hateful,,,,
12153,I cannot even calculate the damage this man will do to this country and the entire world before we get him out of office.,non-hateful,,,,
12154,my dummy sick ass just got sent home early from  work lol,non-hateful,,,,
12155,"Awe, poor little ... probably because you're a total idiot...and you… ",non-hateful,,,,
12156,[texting my boss while babysitting her kids] they said they're allowed to tell me what to do too,non-hateful,,,,
12157,"[INA GO???? ] BANTU YA ??
 Bongbong Doll 30cm by 195.000 (pillow) 
?? exclude EMS 
?? Close 16th May 2…",non-hateful,,,,
12158,if this camerawork is trash im gonna ACTUALLY cry it's 8 AM IN THE MORNING HERE and european african and asian ARMYs b…,non-hateful,,,,
12159,you can rest now ,non-hateful,,,,
12160,FUCKING DONE WITH COLLEGE I DID IT!!!!!!!!,non-hateful,,,,
12161,"He's an idiot, and worse than that, a Tory. But I'd like to see the media use their connections to at least researc… ",hateful,,,,
12162,"Don't submit then quit. Apply for jobs like ""Management and Program Analyst"" at Federal Aviation Administration, th… ",non-hateful,,,,
12163,I want to come over ??,non-hateful,,,,
12164,"I woke up at 4 today and my mom called me and said, “Andrea pon la alarma, tú papi y yo estamos en Mexico” bitch wtf, I’m still confused",non-hateful,,,,
12165,THERE'S NO FUCKING TIME,non-hateful,,,,
12166,BREAKING: We and our allies filed a formal notice of intent today to sue the federal Office of Surface Mining Reclamat…,non-hateful,,,,
12167,"Congratulations class of 2019, you are about to become apparently we all dress alike so update you… ",non-hateful,,,,
12168,FUCKING GARBAGE OMG IT DOESNT EVEN MAKE SENSE HOW BAD IT WAS LIKE WTFFFF,non-hateful,,,,
12169,Fuck me ,non-hateful,,,,
12170,Christ I hope you’re okay xoxox,non-hateful,,,,
12171,"They'll need it, considering you cut 150 jobs. trump's economy. Congrats on nothing.

",non-hateful,,,,
12172,My weed getting ready for me to get home from work: ,non-hateful,,,,
12173,Tweeting a lot today. Gonna shut up in a little bit and face my work ??,non-hateful,,,,
12174,Disgusting mate utter shit,non-hateful,,,,
12175,"Started from the bottom, now he's here: Drake has won the most ever. ",non-hateful,,,,
12176,Damn skippy! It's perfect!,non-hateful,,,,
12177,"“Damn, I really like you”

Me: ",non-hateful,,,,
12178,oh god now i’m all upset because of james’s video and i feel bad and like he’s just a kid and needs to learn. am i… ,non-hateful,,,,
12179,"So we’re getting close to the Suffolk Skeet this weekend (Sunday) at Eriswell Lodge, training is going well for sev… ",non-hateful,,,,
12180,Barr should be locked up right now for obstructing justice bring the marshals in the room and lock his ass up,non-hateful,,,,
12181,I'm not an ass man but I'd spank him ,non-hateful,,,,
12182,She’s credible and believable as someone who understands and is passionate about the topic. You don’t need to be a flaw…,non-hateful,,,,
12183,today is the ticket selling ( which is free so mostly like to be sold out ) I think the show is on 26? sumn,non-hateful,,,,
12184,They are probably lining up outside his office now. ,non-hateful,,,,
12185,Damn this is one of the most satisfying Ws in a while!,non-hateful,,,,
12186,these niggas aint shit BUT THEY BE SO. FUCKING. FINE.,non-hateful,,,,
12187,It all translates to 'I can't dance' ??,non-hateful,,,,
12188,I’m so tired of the “ sTOp HAvIng UNpRotEcTed SeX thEN “ argument simply b/C I got pregnant even while using a condom .. y’all annoying af.,non-hateful,,,,
12189,I hate that fishermans are so fabulous. Just get away and deal with it. ,non-hateful,,,,
12190,"Actually, 
It's another 10,000 reasons why he never should've been president in the first place.
?",non-hateful,,,,
12191,Unwritten rule : you only get to choose her nail color only if you’re paying . ,non-hateful,,,,
12192,I'll never know if I'm truly straight tbh...messi hasn't asked me to suck his dick yet.,non-hateful,,,,
12193,"The shooter thought Angel was Derek! The shooter said ""snitch ass"" and shot Angel up. Those bullets were…",non-hateful,,,,
12194,As I sit down to eat my whole ass chipotle bowl that has extra white rice and a large bag of their chips??,non-hateful,,,,
12195,Can go for some Colombian Burger,non-hateful,,,,
12196,"Yeh, FUCK YOU CHRIS",non-hateful,,,,
12197,There have been 148 cases of Sex Crimes of Jihad against Hindus in the year 2019 alone! This is not an estimate. These…,non-hateful,,,,
12198,This is devastating to the false narrative that the left wing media has feed the American people for over Two years.  ,non-hateful,,,,
12199,If you openly call another crew “faggots” and tell us ‘we’re trash’ because we simply protect our ship from you and yo…,non-hateful,,,,
12200,2019 can just stop right fucking now. ,non-hateful,,,,
12201,Now Golden State “fans” are mad cause we getting easy fouls... Hoe asses forget all the calls they got and we didn’t the first two games..,hateful,,,,
12202,Received an update on my dog from my mother and turns out my dog is depressed well GET IN LINE RUBY ,non-hateful,,,,
12203,Took me a while to get into Billie Eillish but now that I did I can’t stop listening ??,non-hateful,,,,
